data_sensor_id,team_id,date,temperature,humidity,pressure,accelerometer,,,gyroscope,,,magnetometer,,,din1
,,,,,,x,y,z,x,y,z,x,y,z,
37083,1,11/1/2018 8:24,15.9,81.2,943.2,-0.038,-0.02,0.954,6.3,-23.1,-35,-67,-690,481,0
37088,1,11/1/2018 8:25,15.8,81.9,943.1,-0.038,-0.019,0.954,4.2,-26.6,-36.4,-65,-687,477,0
37091,1,11/1/2018 8:25,15.3,82.3,943.5,0.946,0,0.134,7,-23.8,-33.6,-81,-589,760,0
37095,1,11/1/2018 8:26,15,83.6,943.4,0.947,0,0.132,5.6,-23.1,-32.2,-73,-588,754,0
37096,1,11/1/2018 8:26,14.9,84.3,943.4,0.962,0.014,0.077,9.1,-26.6,-32.2,-84,-584,752,0
37099,1,11/1/2018 8:26,15,84.6,943.4,-0.036,-0.021,0.954,7.7,-26.6,-32.2,-54,-698,505,0
37100,1,11/1/2018 8:26,15,84.6,943.5,-0.036,-0.022,0.954,6.3,-25.9,-34.3,-51,-705,498,0
37112,1,11/1/2018 8:27,23.5,65,943.4,-0.025,-0.029,0.953,0.7,-11.2,-39.2,125,-763,454,12
37116,1,11/1/2018 8:27,24.5,61.4,943.3,-0.038,-0.028,0.949,-2.1,-12.6,-38.5,-106,-621,543,0
37135,1,11/1/2018 8:28,56.5,19.9,943.3,-0.033,-0.029,0.981,-29.4,-11.2,-6.3,-88,-606,546,0
37147,1,11/1/2018 8:29,28,33,943.4,-0.04,-0.027,0.965,-13.3,-18.2,-32.2,-78,-608,514,0
37152,1,11/1/2018 8:29,25.8,41,943.5,-0.03,-0.046,1.022,-9.1,-13.3,-34.3,25,-576,461,0
37156,1,11/1/2018 8:30,24.7,44.3,943.6,-0.032,-0.029,0.944,-7,-14.7,-36.4,-75,-631,530,0
37159,1,11/1/2018 8:30,24.7,46.7,943.4,0.961,0.003,0.022,-4.9,-15.4,-37.8,-103,-560,676,0
37167,1,11/1/2018 8:30,23.4,50.1,943.3,0.962,0.003,0.017,-3.5,-15.4,-39.9,-104,-562,669,0
37179,1,11/1/2018 8:31,20.3,57.2,943.4,0.96,0.003,0.014,-2.8,-15.4,-42,-112,-560,672,0
37183,1,11/1/2018 8:31,20.6,59.1,943.3,0.961,0.005,0.026,-0.7,-16.8,-42,-113,-555,671,0
37190,1,11/1/2018 8:32,20.8,60.4,943.3,-0.035,-0.015,0.953,-2.8,-18.9,-42.7,-100,-620,539,0
37196,1,11/1/2018 8:32,18.9,63.6,943.2,-0.035,-0.013,0.956,1.4,-18.2,-44.1,-101,-618,548,0
37201,1,11/1/2018 8:32,18.6,64.7,943.4,-0.039,-0.013,0.952,-1.4,-16.1,-44.8,-85,-655,543,20
37222,1,11/1/2018 8:33,18.8,66.2,943.2,-0.041,-0.012,0.948,54.6,232.4,13.3,-81,-649,531,0
37235,1,11/1/2018 8:34,18.6,65.6,943.2,-0.044,-0.012,0.948,2.8,-19.6,-42,-92,-654,550,0
37238,1,11/1/2018 8:34,18.3,66.2,943.2,-0.045,-0.011,0.994,2.8,-20.3,-42.7,-51,-636,530,0
37252,1,11/1/2018 8:35,18.2,69.2,943.1,-0.045,-0.03,1.13,3.5,-17.5,-43.4,37,-574,500,0
37276,1,11/1/2018 8:37,17.6,71.2,943.5,-0.044,-0.026,1.049,2.1,-21,-39.2,30,-532,407,0
37286,1,11/1/2018 8:37,26.5,54.6,943.8,-0.047,-0.03,1.025,-3.5,-16.1,-38.5,-43,-694,115,0
37289,1,11/1/2018 8:37,26.8,50.9,943.5,-0.033,-0.026,0.948,-4.9,-17.5,-38.5,53,-761,478,0
37306,1,11/1/2018 8:38,57.3,17.3,944,-0.038,-0.019,0.953,-27.3,-10.5,-4.9,23,-735,490,0
37331,1,11/1/2018 8:40,26.3,42.6,943.5,-0.037,-0.017,0.951,-7,-15.4,-37.1,1,-727,493,0
37350,1,11/1/2018 8:41,22.3,54.4,943.7,-0.041,-0.014,0.95,0,-17.5,-40.6,-19,-725,494,0
37352,1,11/1/2018 8:42,21.3,55.1,943.7,-0.038,-0.019,0.958,-2.1,-16.1,-42.7,-119,-578,533,0
37357,1,11/1/2018 8:42,20,58.4,943.8,-0.039,-0.018,0.956,-1.4,-17.5,-42,-123,-575,532,0
37362,1,11/1/2018 8:42,19,61.2,943.8,0.94,0.007,0.163,0,-16.1,-44.8,-80,-585,773,4
37377,1,11/1/2018 8:43,19,62.8,943.4,0.937,0.006,0.166,0,-17.5,-42,-88,-587,771,0
37387,1,11/1/2018 8:43,18.7,64.2,943.4,-0.05,-0.012,0.938,1.4,-16.1,-42.7,-117,-615,554,0
37415,1,11/1/2018 8:45,17.3,69.4,943.4,-0.047,-0.01,0.953,4.9,-19.6,-43.4,-73,-581,524,0
37420,1,11/1/2018 8:45,16.9,70.9,943.4,-0.041,-0.013,0.951,2.8,-18.9,-41.3,-66,-578,533,0
37428,1,11/1/2018 8:46,15.8,73.4,943.4,-0.038,-0.01,0.944,5.6,-20.3,-42.7,-64,-576,533,0
37432,1,11/1/2018 8:46,20.9,70.9,943.9,-0.039,-0.02,0.993,2.8,-20.3,-42,14,-553,501,0
37456,1,11/1/2018 8:47,51.6,26.2,944.2,-0.038,-0.016,0.952,-28.7,-21,-16.8,-31,-657,492,0
37460,1,11/1/2018 8:48,57.3,19.8,944.8,-0.039,-0.017,0.953,-25.9,-3.5,-14.7,-39,-652,489,0
37466,1,11/1/2018 8:48,59.3,16.9,944.5,-0.04,-0.017,0.951,-31.5,-15.4,-12.6,-44,-652,502,0
37472,1,11/1/2018 8:48,55.5,15.6,943.2,-0.041,-0.014,0.954,-24.5,-9.8,-14,-71,-652,504,0
37486,1,11/1/2018 8:49,39.8,24.6,943.4,-0.038,0.003,0.947,-13.3,-13.3,-24.5,-86,-644,507,0
37496,1,11/1/2018 8:49,34.3,30,943.5,-0.04,-0.014,0.955,-10.5,-11.9,-30.8,-87,-645,508,0
37508,1,11/1/2018 8:50,28.1,38.6,943.4,-0.069,0.023,0.926,-4.9,-14,-35,-120,-625,510,0
37613,1,11/1/2018 8:56,19.7,64.2,943.3,-0.038,-0.024,0.951,2.1,-17.5,-42.7,-109,-647,486,0
37620,1,11/1/2018 8:57,19.2,64.9,943.3,-0.037,-0.014,0.957,0,-18.2,-44.1,-122,-654,481,0
37630,1,11/1/2018 8:57,17.9,67.6,943.7,-0.022,-0.021,0.968,4.9,-13.3,-42,-116,-658,479,8
37675,1,11/1/2018 8:59,17.1,73,943.7,-0.044,-0.01,0.951,3.5,-18.9,-42,-122,-668,474,4
37722,1,11/1/2018 9:01,15.9,79.2,943.5,-0.039,-0.013,0.955,4.2,-19.6,-39.2,-117,-668,475,0
37792,1,11/1/2018 9:04,26.6,51.5,943.6,-0.044,-0.011,0.954,-1.4,-13.3,-37.1,-126,-665,475,0
37805,1,11/1/2018 9:05,28.1,48.7,944,-0.043,-0.011,0.955,-4.2,-12.6,-37.1,-118,-663,482,0
